card_number,card_security_code,card_valid_date,card_expiry_date,card_holder_name
5507211322378981,400,09/23,09/28,Sam Jones
4571577218185446,504,03/23,11/28,Jamie Miller
4571717066493601,057,03/23,01/28,Jamie Williams
4064988817185467,579,01/23,01/28,Pat Moore
4571402700224716,740,01/23,05/28,Chris Taylor
4011745154761523681,957,03/23,02/28,Chris Smith
5511497437315197413,316,10/23,10/28,Morgan Johnson
5578922131134044426,646,06/23,07/28,John Taylor
4387630065656149,223,06/23,04/28,Jamie Wilson
4571226057677886,317,10/23,03/28,Jamie Wilson
