card_number,card_security_code,card_valid_date,card_expiry_date,card_holder_name
5588601012060076,380,11/23,03/28,Jamie Wilson
5421245633641709171,937,11/23,06/28,John Jones
5487878637281363,046,01/23,01/28,Chris Moore
5262180974785967029,246,01/23,06/28,Alex Williams
5390632973162771,470,03/23,02/28,Jane Davis
5155904940645481758,443,09/23,07/28,Pat Brown
5462138659568541,743,10/23,06/28,Sam Davis
373391489995698,1585,08/23,01/28,Jane Wilson
5508054207535117,323,06/23,08/28,John Miller
5404451196141300966,235,08/23,09/28,Jamie Davis
